"weave","exposure","target","replication","rmse","overexposed","sd_exposure"
"ds","bigm","goalinfo6","1",0.388156578608326,0.00500834724540901,0.0568312456215047
"ds","bigm","goalinfo6","10",0.381722381620619,0.010016694490818,0.0570815444753773
"ds","bigm","goalinfo6","100",0.377975525585636,0.010016694490818,0.0569689369441862
"ds","bigm","goalinfo6","11",0.384402400535826,0.00500834724540901,0.0567313127834114
"ds","bigm","goalinfo6","12",0.379456977907093,0.00667779632721202,0.056902228920749
"ds","bigm","goalinfo6","13",0.387629874506188,0.00834724540901502,0.056909745866099
"ds","bigm","goalinfo6","14",0.381203868789472,0.011686143572621,0.0572505422909178
"ds","bigm","goalinfo6","15",0.379929795384304,0.010016694490818,0.0571214628286172
"ds","bigm","goalinfo6","16",0.382861377438959,0.00834724540901502,0.0569964803580553
"ds","bigm","goalinfo6","17",0.377396568998505,0.010016694490818,0.0569836083098951
"ds","bigm","goalinfo6","18",0.375785227590309,0.00500834724540901,0.0572273478484549
"ds","bigm","goalinfo6","19",0.376824347352068,0.00834724540901502,0.0570449553750487
"ds","bigm","goalinfo6","2",0.377004937403777,0.00834724540901502,0.056789919532406
"ds","bigm","goalinfo6","20",0.375182413990485,0.015025041736227,0.0572075641439116
"ds","bigm","goalinfo6","21",0.381859489341802,0.00834724540901502,0.0573686125243767
"ds","bigm","goalinfo6","22",0.377523063410205,0.00834724540901502,0.0572870117596475
"ds","bigm","goalinfo6","23",0.381635438417936,0.0200333889816361,0.05703404701602
"ds","bigm","goalinfo6","24",0.380871219755124,0.010016694490818,0.0573377178675873
"ds","bigm","goalinfo6","25",0.379615787116457,0.00667779632721202,0.0571684056039097
"ds","bigm","goalinfo6","26",0.373115665168457,0.0183639398998331,0.0568036256199732
"ds","bigm","goalinfo6","27",0.384392382522277,0.011686143572621,0.0573434770352345
"ds","bigm","goalinfo6","28",0.382447713573991,0.00667779632721202,0.0567628580217571
"ds","bigm","goalinfo6","29",0.390230680376319,0.00667779632721202,0.0567185303309701
"ds","bigm","goalinfo6","3",0.386478895682803,0.00667779632721202,0.0569414530391482
"ds","bigm","goalinfo6","30",0.382714066984468,0.010016694490818,0.0570000737307699
"ds","bigm","goalinfo6","31",0.380338233760821,0.00667779632721202,0.0568657585218884
"ds","bigm","goalinfo6","32",0.387352815882977,0.011686143572621,0.0567126970850829
"ds","bigm","goalinfo6","33",0.379345744226311,0.00834724540901502,0.0567900290717369
"ds","bigm","goalinfo6","34",0.382344521390149,0.00834724540901502,0.0568892085618894
"ds","bigm","goalinfo6","35",0.381332003085524,0.0183639398998331,0.0571546933669937
"ds","bigm","goalinfo6","36",0.378722689373184,0.010016694490818,0.0571283256883015
"ds","bigm","goalinfo6","37",0.387362886957719,0.00834724540901502,0.0566181740793752
"ds","bigm","goalinfo6","38",0.384823395360665,0.00667779632721202,0.0569662539661152
"ds","bigm","goalinfo6","39",0.38290808061332,0.00500834724540901,0.0568584933983828
"ds","bigm","goalinfo6","4",0.382676328908045,0.00667779632721202,0.0570664716324517
"ds","bigm","goalinfo6","40",0.382737557919645,0.011686143572621,0.05696365071081
"ds","bigm","goalinfo6","41",0.375997957515536,0.011686143572621,0.0570151242385323
"ds","bigm","goalinfo6","42",0.382393932187476,0.00333889816360601,0.0572387253780618
"ds","bigm","goalinfo6","43",0.381726885935563,0.00834724540901502,0.0566618353855546
"ds","bigm","goalinfo6","44",0.384169690276691,0.00500834724540901,0.0570602589766037
"ds","bigm","goalinfo6","45",0.379964786041874,0.00667779632721202,0.0570461068345488
"ds","bigm","goalinfo6","46",0.377925479341092,0.011686143572621,0.0567590304334736
"ds","bigm","goalinfo6","47",0.382158505134829,0.010016694490818,0.0571733406425547
"ds","bigm","goalinfo6","48",0.379504500952112,0.00500834724540901,0.0569402336782461
"ds","bigm","goalinfo6","49",0.385510585505451,0.00834724540901502,0.0565666314175468
"ds","bigm","goalinfo6","5",0.385344337698435,0.00667779632721202,0.0568413891664345
"ds","bigm","goalinfo6","50",0.383246911034939,0.00834724540901502,0.0572469424396721
"ds","bigm","goalinfo6","51",0.380538877611294,0.00500834724540901,0.0567883553348244
"ds","bigm","goalinfo6","52",0.378746321715668,0.013355592654424,0.0570702211704461
"ds","bigm","goalinfo6","53",0.374065154802742,0.00667779632721202,0.0568122341030059
"ds","bigm","goalinfo6","54",0.378338405812682,0.00333889816360601,0.0568018203930299
"ds","bigm","goalinfo6","55",0.378509173035293,0.00333889816360601,0.0570858285100991
"ds","bigm","goalinfo6","56",0.379536437852821,0.00667779632721202,0.0570562965899824
"ds","bigm","goalinfo6","57",0.38537368361425,0.011686143572621,0.0571901865306762
"ds","bigm","goalinfo6","58",0.377148896245125,0.011686143572621,0.0573267006958456
"ds","bigm","goalinfo6","59",0.384691527375944,0.010016694490818,0.0570050515038097
