CONSTRAINT_ID,TYPE,WHAT,CONDITION,LB,UB,ONOFF
C1,Number,Item,,30,30,
C2,Number,Stimulus,,6,6,
C3,Number,Item,Per Stimulus,5,5,
C4,Number,Stimulus,CONTENTCAT == 1,3,3,
C5,Number,Stimulus,CONTENTCAT == 2,3,3,
C6,Number,Item,"CONTENTCAT == 1",15,15,
C7,Number,Item,"CONTENTCAT == 2",15,15,
C8,Number,Item,"TESTINGLEVEL2 == 2  & ITEMTYPE == 'MC'",2,3,
C9,Number,Item,"TESTINGLEVEL2 == 4  & ITEMTYPE == 'MC'",2,3,
C10,Number,Item,"TESTINGLEVEL2 %in% c(1, 3, 5, 6, 7) & ITEMTYPE == 'MC'",5,9,
C11,Number,Item,"TESTINGLEVEL2 %in% c(2, 4) & ITEMTYPE == 'CR'",3,3,
C12,Number,Item,"TESTINGLEVEL2 == 9   & ITEMTYPE == 'MC'",2,3,
C13,Number,Item,"TESTINGLEVEL2 == 11  & ITEMTYPE == 'MC'",2,3,
C14,Number,Item,"TESTINGLEVEL2 %in% c(8, 10, 12, 13, 14) & ITEMTYPE == 'MC'",5,9,
C15,Number,Item,"TESTINGLEVEL2 %in% c(9, 11) & ITEMTYPE == 'CR'",3,3,
C16,Number,Item,"DOKLEVELCODE == 2",15,30,
