"STID","PASSAGELENGTH","CONTENTCAT"
"94","S",1
"212","M",1
"229","L",1
"242","S",1
"258","M",1
"262","L",1
"508","S",1
"597","L",1
"750","M",1
"1146","L",1
"1155","M",1
"1157","S",1
"1197","L",1
"1240","S",1
"1276","S",1
"1291","M",1
"1295","L",1
"1300","L",1
"1375","M",1
"1419","M",1
"1441","M",1
"1478","S",1
"1495","L",1
"1551","M",1
"1552","L",1
"1660","M",2
"1661","L",2
"1664","S",2
"1669","M",2
"1675","L",2
"1689","S",2
"1693","S",2
"1694","M",2
"1709","M",2
"1729","L",2
"1756","L",2
"1758","M",2
"1760","L",2
"1761","S",2
"1768","S",2
"1773","M",2
"1807","M",2
"1808","L",2
"1813","M",2
"1832","M",2
"1833","L",2
